Date,Open,High,Low,Close
2013-01-01,176.7095192757598,177.2538835268922,175.68358644425263,176.01858520507812
2013-01-02,176.70952186584722,179.22197766802813,176.4059279241179,177.53652954101562
2013-01-03,177.67260205350755,180.4781832849689,176.83512617464856,180.2164764404297
2013-01-04,180.45726087714087,181.02256168197323,178.70901708963473,180.44679260253906
2013-01-07,181.25284624953943,182.36251111745753,178.34258255720167,179.34756469726562
2013-01-08,179.03354159201257,179.66166604882167,177.5260680530741,178.10183715820312
2013-01-09,178.46824198489793,180.02805690986983,177.68310737300928,178.5310516357422
2013-01-10,179.58835238331918,179.83960493086144,177.33761761090676,177.9761962890625
2013-01-11,178.48916448704298,178.59384723021097,175.08687749974447,175.85108947753906
2013-01-14,176.08140334994332,178.5938592365507,175.66265837278624,177.45278930664062
2013-01-15,177.15968482925354,178.34264197713756,175.4533138677086,177.3690643310547
2013-01-16,177.1386823514383,182.34156746258748,177.1386823514383,180.34207153320312
2013-01-17,180.49914150204876,187.08388216984417,180.00711859891257,186.34060668945312
2013-01-18,187.38748414582813,189.05199597768046,185.42986057849058,188.47622680664062
2013-01-21,196.41136238351922,199.94973684941422,192.21345869931108,192.61126708984375
2013-01-22,192.62174913242043,194.86202982260687,191.690044722005,192.63221740722656
2013-01-23,193.06141773339743,194.46420839256672,191.8261194599198,193.26031494140625
2013-01-24,193.66860809755389,194.3700104750256,189.89991728793967,191.69004821777344
2013-01-25,191.83659165717626,192.06690766854626,189.502110578522,190.9886474609375
2013-01-28,190.81069943320304,191.18757133761204,187.38747541885493,187.92137145996094
2013-01-29,187.3874580728022,188.85305847531535,184.26782832118184,184.84359741210938
2013-01-30,185.8171661339322,189.14617520065696,185.8171661339322,188.30868530273438
2013-01-31,187.7329321371842,188.0155895439785,184.89594569938055,185.63922119140625
2013-02-01,186.6232375937722,188.39241775305337,185.00059928788534,187.17807006835938
2013-02-04,187.6072966612987,188.6436837696395,185.1053092219944,185.64967346191406
2013-02-05,185.084361090127,185.48215548862098,182.78127100665333,183.14767456054688
2013-02-06,184.34108757942454,184.85404696954777,182.32065484018403,183.3361053466797
2013-02-07,182.48815635151004,184.66562728230213,181.8077045473255,182.76034545898438
2013-02-08,182.14271550090996,182.9906597502863,179.43134842416256,180.802734375
2013-02-11,181.10630565268903,183.20003042898873,180.18508352271846,181.81817626953125
2013-02-12,181.86002463393467,184.32013868221156,181.1481680902414,183.29421997070312
2013-02-13,185.08437676810527,185.92185270694506,182.67660374423014,184.0375213623047
2013-02-14,184.2468645313434,184.96918936282873,178.1750983227633,179.232421875
2013-02-15,178.9916619026398,179.5150896131553,174.63673384724305,177.0863800048828
2013-02-18,177.54698926019816,178.92884337889367,176.54200698775304,177.4423065185547
2013-02-19,177.7563858418841,179.0126068152767,174.66814683159527,177.63075256347656
2013-02-20,179.63025101650658,184.0061015573726,179.34759362937035,183.1581573486328
